concept,description_concept,type_concept,term,type_term,description_term,generateur,prefix,gender,conjugaison,ehasElisionlision,accordFemSing,accordFemPlu,accordMasSing,accordMasPlu
a_strict 1,,a,adjectif:intangible  s  s,adjectif,,,intangible,,,1,,s,,s
,,,generateur:[a_immuable],generateur,,,,,,,,,,
,,,generateur:[a_strict],generateur,,,,,,,,,,
a_structuré,,a,adjectif:structur ée ées é és,adjectif,,,structur,,,0,ée,ées,é,és
a_stupéfait,,a,adjectif:stupéfai te tes t ts,adjectif,,,stupéfai,,,0,te,tes,t,ts
a_stupide,,a,adjectif:stupid e es e es,adjectif,,,stupid,,,0,e,es,e,es
a_su,,a,adjectif:s ue ues u us,adjectif,,,s,,,0,ue,ues,u,us
a_subi,,a,adjectif:sub ie ies i is,adjectif,,,sub,,,0,ie,ies,i,is
a_subjectif,,a,adjectif:subjecti ve ves f fs,adjectif,,,subjecti,,,0,ve,ves,f,fs
a_sublime,,a,adjectif:sublim e es e es,adjectif,,,sublim,,,0,e,es,e,es
a_submergé,,a,adjectif:submerg ée ées é és,adjectif,,,submerg,,,0,ée,ées,é,és
a_subtil,,a,adjectif:subti le les l ls,adjectif,,,subti,,,0,le,les,l,ls
a_successif,,a,adjectif:successi ve ves f fs,adjectif,,,successi,,,0,ve,ves,f,fs
a_sucré,,a,adjectif:sucr ée ées é és,adjectif,,,sucr,,,0,ée,ées,é,és
a_suintant,,a,adjectif:suintan te tes t ts,adjectif,,,suintan,,,0,te,tes,t,ts
a_suintant 1,,a,adjectif:dégoulinan te tes t ts,adjectif,,,dégoulinan,,,0,te,tes,t,ts
,,,adjectif:empl ie ies i is,adjectif,,,empl,,,1,ie,ies,i,is
,,,generateur:[a_suintant],generateur,,,,,,,,,,
,,,generateur:[m_poisseux],generateur,,,,,,,,,,
a_suivant,,a,adjectif:suivan te tes t ts,adjectif,,,suivan,,,0,te,tes,t,ts
a_suivi,,a,adjectif:suiv ie ies i is,adjectif,,,suiv,,,0,ie,ies,i,is
a_sulpicien,,a,adjectif:sulpicie nne nnes n ns,adjectif,,,sulpicie,,,0,nne,nnes,n,ns
a_superbe,,a,adjectif:superb e es e es,adjectif,,,superb,,,0,e,es,e,es
a_superficiel,,a,adjectif:superficie lle lles l ls,adjectif,,,superficie,,,0,lle,lles,l,ls
a_superflu,,a,adjectif:superfl ue ues u us,adjectif,,,superfl,,,0,ue,ues,u,us
a_supérieur,,a,adjectif:supérieu re res r rs,adjectif,,,supérieu,,,0,re,res,r,rs
a_superposé,,a,adjectif:superpos ée ées é és,adjectif,,,superpos,,,0,ée,ées,é,és
a_superstitieux,,a,adjectif:superstitieu se ses x x,adjectif,,,superstitieu,,,0,se,ses,x,x
a_supplémentaire,,a,adjectif:supplémentair e es e es,adjectif,,,supplémentair,,,0,e,es,e,es
a_supportable,,a,adjectif:supportabl e es e es,adjectif,,,supportabl,,,0,e,es,e,es
a_supporté,,a,adjectif:support ée ées é és,adjectif,,,support,,,0,ée,ées,é,és
a_sûr,,a,adjectif:sû re res r rs,adjectif,,,sû,,,0,re,res,r,rs
a_sûr 1,,a,generateur:[a_sûr 2],generateur,,,,,,,,,,
a_sûr 2,,a,generateur:[a_sûr 2],generateur,,[a_sûr 2],,,,,,,,
a_sûr 3,,a,adjectif:infaillibl e es e es,adjectif,,,infaillibl,,,1,e,es,e,es
a_suranné,,a,adjectif:surann ée ées é és,adjectif,,,surann,,,0,ée,ées,é,és
a_surchargé,,a,adjectif:surcharg ée ées é és,adjectif,,,surcharg,,,0,ée,ées,é,és
a_surchauffé,,a,adjectif:surchauff ée ées é és,adjectif,,,surchauff,,,0,ée,ées,é,és
a_surexcité,,a,adjectif:surexcit ée ées é és,adjectif,,,surexcit,,,0,ée,ées,é,és
a_surmonté,,a,adjectif:surmont ée ées é és,adjectif,,,surmont,,,0,ée,ées,é,és
a_surnaturel,,a,adjectif:surnature lle lles l ls,adjectif,,,surnature,,,0,lle,lles,l,ls
a_surpeuplé,,a,adjectif:surpeupl ée ées é és,adjectif,,,surpeupl,,,0,ée,ées,é,és
a_surprenant,,a,adjectif:surprenan te tes t ts,adjectif,,,surprenan,,,0,te,tes,t,ts
a_surpris,,a,adjectif:surpri se ses s s,adjectif,,,surpri,,,0,se,ses,s,s
a_surréaliste,,a,adjectif:surréalist e es e es,adjectif,,,surréalist,,,0,e,es,e,es
a_surveillé,,a,adjectif:surveill ée ées é és,adjectif,,,surveill,,,1,ée,ées,é,és
a_suspect,,a,adjectif:suspec te tes t ts,adjectif,,,suspec,,,0,te,tes,t,ts
a_suspendu,,a,adjectif:suspend ue ues u us,adjectif,,,suspend,,,0,ue,ues,u,us
a_svelte,,a,adjectif:svelt e es e es,adjectif,,,svelt,,,0,e,es,e,es
a_symétrique,,a,adjectif:symétriqu e es e es,adjectif,,,symétriqu,,,0,e,es,e,es
a_sympathique,,a,adjectif:sympathiqu e es e es,adjectif,,,sympathiqu,,,0,e,es,e,es
a_symphonique,,a,adjectif:symphoniqu e es e es,adjectif,,,symphoniqu,,,0,e,es,e,es
a_systématique,,a,adjectif:systématiqu e es e es,adjectif,,,systématiqu,,,0,e,es,e,es
a_tacheté,,a,adjectif:tachet ée ées é és,adjectif,,,tachet,,,0,ée,ées,é,és
a_taciturne,,a,adjectif:taciturn e es e es,adjectif,,,taciturn,,,0,e,es,e,es
a_taillé,,a,adjectif:taill ée ées é és,adjectif,,,taill,,,0,ée,ées,é,és
a_tamisé,,a,adjectif:tamis ée ées é és,adjectif,,,tamis,,,0,ée,ées,é,és
a_tanné,,a,adjectif:tann ée ées é és,adjectif,,,tann,,,0,ée,ées,é,és
a_tapissé,,a,adjectif:tapiss ée ées é és,adjectif,,,tapiss,,,0,ée,ées,é,és
a_tatoué,,a,adjectif:tatou ée ées é és,adjectif,,,tatou,,,0,ée,ées,é,és
a_technique,,a,adjectif:techniqu e es e es,adjectif,,,techniqu,,,0,e,es,e,es
a_tel,,a,adjectif:te lle lles l ls,adjectif,,,te,,,0,lle,lles,l,ls
a_télévisuel,,a,adjectif:télévisue lle lles l ls,adjectif,,,télévisue,,,0,lle,lles,l,ls
a_temporaire,,a,adjectif:temporair e es e es,adjectif,,,temporair,,,0,e,es,e,es
a_tendre,,a,adjectif:tendr e es e es,adjectif,,,tendr,,,0,e,es,e,es
a_tendu,,a,adjectif:tend ue ues u us,adjectif,,,tend,,,0,ue,ues,u,us
a_tendu 1,,a,generateur:[a_bandé],generateur,,,,,,,,,,
,,,generateur:[a_étalée],generateur,,,,,,,,,,
a_tenté,,a,adjectif:tent ée ées é és,adjectif,,,tent,,,0,ée,ées,é,és
a_tenu,,a,adjectif:ten ue ues u us,adjectif,,,ten,,,0,ue,ues,u,us
a_terne,,a,adjectif:tern e es e es,adjectif,,,tern,,,0,e,es,e,es
a_terrestre,,a,adjectif:terrestr e es e es,adjectif,,,terrestr,,,0,e,es,e,es
a_terrible,,a,adjectif:terribl e es e es,adjectif,,,terribl,,,0,e,es,e,es
a_terrifié,,a,adjectif:terrifi ée ées é és,adjectif,,,terrifi,,,0,ée,ées,é,és
a_tétanisé,,a,adjectif:tétanis ée ées é és,adjectif,,,tétanis,,,0,ée,ées,é,és
a_textuel,,a,adjectif:textue lle lles l ls,adjectif,,,textue,,,0,lle,lles,l,ls
a_théorique,,a,adjectif:théoriqu e es e es,adjectif,,,théoriqu,,,0,e,es,e,es
a_thermodynamique,,a,adjectif:thermodynamiqu e es e es,adjectif,,,thermodynamiqu,,,0,e,es,e,es
a_tiède,,a,adjectif:tièd e es e es,adjectif,,,tièd,,,0,e,es,e,es
a_tien,,a,adjectif:tie nne nnes n ns,adjectif,,,tie,,,0,nne,nnes,n,ns
a_tigré,,a,adjectif:tigr ée ées é és,adjectif,,,tigr,,,0,ée,ées,é,és
a_timide,,a,adjectif:timid e es e es,adjectif,,,timid,,,0,e,es,e,es
a_timoré 1,,a,adjectif:couar de des d ds,adjectif,,,couar,,,0,de,des,d,ds
,,,adjectif:crainti ve ves f fs,adjectif,,,crainti,,,0,ve,ves,f,fs
,,,adjectif:timor ée ées é és,adjectif,,,timor,,,0,ée,ées,é,és
,,,adjectif:humbl e es e es,adjectif,,,humbl,,,1,e,es,e,es
a_tiré,,a,adjectif:tir ée ées é és,adjectif,,,tir,,,0,ée,ées,é,és
a_tissé,,a,adjectif:tiss ée ées é és,adjectif,,,tiss,,,0,ée,ées,é,és
a_toilé,,a,adjectif:toil ée ées é és,adjectif,,,toil,,,0,ée,ées,é,és
a_toléré,,a,adjectif:tolér ée ées é és,adjectif,,,tolér,,,0,ée,ées,é,és
a_tombé,,a,adjectif:tomb ée ées é és,adjectif,,,tomb,,,0,ée,ées,é,és
a_tordu,,a,adjectif:tord ue ues u us,adjectif,,,tord,,,0,ue,ues,u,us
a_tortueux,,a,adjectif:tortueu se ses x x,adjectif,,,tortueu,,,0,se,ses,x,x
a_total,,a,adjectif:tota le les l ux,adjectif,,,tota,,,0,le,les,l,ux
a_touché,,a,adjectif:touch ée ées é és,adjectif,,,touch,,,0,ée,ées,é,és
a_tourmenté,,a,adjectif:tourment ée ées é és,adjectif,,,tourment,,,0,ée,ées,é,és
a_tout,,a,adjectif:tou te tes t s,adjectif,,,tou,,,0,te,tes,t,s
a_toxique,,a,adjectif:toxiqu e es e es,adjectif,,,toxiqu,,,0,e,es,e,es
a_tracé,,a,adjectif:trac ée ées é és,adjectif,,,trac,,,0,ée,ées,é,és
a_traditionnel,,a,adjectif:traditionne lle lles l ls,adjectif,,,traditionne,,,0,lle,lles,l,ls
a_tragique,,a,adjectif:tragiqu e es e es,adjectif,,,tragiqu,,,0,e,es,e,es
a_traîné,,a,adjectif:traîn ée ées é és,adjectif,,,traîn,,,0,ée,ées,é,és
a_traité,,a,adjectif:trait ée ées é és,adjectif,,,trait,,,0,ée,ées,é,és
a_tranchant,,a,adjectif:tranchan te tes t ts,adjectif,,,tranchan,,,0,te,tes,t,ts
a_tranquille,,a,adjectif:tranquill e es e es,adjectif,,,tranquill,,,0,e,es,e,es
a_tranquille 1,,a,adjectif:nonchalant e es  s,adjectif,,,nonchalant,,,0,e,es,,s
,,,adjectif:pacifique  s  s,adjectif,,,pacifique,,,0,,s,,s
,,,adjectif:serein e es  s,adjectif,,,serein,,,0,e,es,,s
a_transfiguré,,a,adjectif:transfigur ée ées é és,adjectif,,,transfigur,,,0,ée,ées,é,és
a_transitoire,,a,adjectif:transitoir e es e es,adjectif,,,transitoir,,,0,e,es,e,es
a_transparent,,a,adjectif:transparen te tes t ts,adjectif,,,transparen,,,0,te,tes,t,ts
a_transpercé,,a,adjectif:transperc ée ées é és,adjectif,,,transperc,,,0,ée,ées,é,és
a_transversal,,a,adjectif:transversa le les l ux,adjectif,,,transversa,,,0,le,les,l,ux
a_travaillé,,a,adjectif:travaill ée ées é és,adjectif,,,travaill,,,0,ée,ées,é,és
a_traversé,,a,adjectif:travers ée ées é és,adjectif,,,travers,,,0,ée,ées,é,és
a_tremblant,,a,adjectif:tremblan te tes t ts,adjectif,,,tremblan,,,0,te,tes,t,ts
a_trempé,,a,adjectif:tremp ée ées é és,adjectif,,,tremp,,,0,ée,ées,é,és
a_triangulaire,,a,adjectif:triangulair e es e es,adjectif,,,triangulair,,,0,e,es,e,es
a_tricolore,,a,adjectif:tricolor e es e es,adjectif,,,tricolor,,,0,e,es,e,es
a_triple,,a,adjectif:tripl e es e es,adjectif,,,tripl,,,0,e,es,e,es
a_triste,,a,adjectif:trist e es e es,adjectif,,,trist,,,0,e,es,e,es
a_triste 1,,a,adjectif:lamentabl e es e es,adjectif,,,lamentabl,,,0,e,es,e,es
,,,adjectif:morose  s  s,adjectif,,,morose,,,0,,s,,s
,,,adjectif:pitoyable  s  s,adjectif,,,pitoyable,,,0,,s,,s
,,,generateur:[a_déprimant],generateur,,,,,,,,,,
,,,generateur:[a_morne],generateur,,,,,,,,,,
,,,generateur:[a_morose],generateur,,,,,,,,,,
a_triste 2,,a,adjectif:désol ée ées é és,adjectif,,,désol,,,0,ée,ées,é,és
,,,adjectif:navr ée ées é és,adjectif,,,navr,,,0,ée,ées,é,és
,,,generateur:[a_déprimant],generateur,,,,,,,,,,
a_triste 3,,a,adjectif:déprimé e es  s,adjectif,,,déprimé,,,0,e,es,,s
,,,adjectif:grognon  s  s,adjectif,,,grognon,,,0,,s,,s
,,,adjectif:maussade  s  s,adjectif,,,maussade,,,0,,s,,s
a_trois,,a,adjectif:troi s s s s,adjectif,,,troi,,,0,s,s,s,s
a_troisième,,a,adjectif:troisièm e es e es,adjectif,,,troisièm,,,0,e,es,e,es
a_trompé,,a,adjectif:tromp ée ées é és,adjectif,,,tromp,,,0,ée,ées,é,és
a_trompeur,,a,adjectif:trompeu se ses r rs,adjectif,,,trompeu,,,0,se,ses,r,rs
a_troublant,,a,adjectif:troublan te tes t ts,adjectif,,,troublan,,,0,te,tes,t,ts
a_trouble,,a,adjectif:troubl e es e es,adjectif,,,troubl,,,0,e,es,e,es
a_troublés,,a,adjectif:troubl ée ées é és,adjectif,,,troubl,,,0,ée,ées,é,és
a_troué,,a,adjectif:trou ée ées é és,adjectif,,,trou,,,0,ée,ées,é,és
a_troué 1,,a,adjectif:creus ée ées é és,adjectif,,,creus,,,0,ée,ées,é,és
,,,adjectif:crev ée ées é és,adjectif,,,crev,,,0,ée,ées,é,és
a_trouvé,,a,adjectif:trouv ée ées é és,adjectif,,,trouv,,,0,ée,ées,é,és
a_tu,,a,adjectif:t ue ues u us,adjectif,,,t,,,0,ue,ues,u,us
a_tué,,a,adjectif:tu ée ées é és,adjectif,,,tu,,,0,ée,ées,é,és
a_turbulent,,a,adjectif:turbulen te tes t ts,adjectif,,,turbulen,,,0,te,tes,t,ts
a_turc,,a,adjectif:tur que ques c cs,adjectif,,,tur,,,0,que,ques,c,cs
a_turgescent,,a,adjectif:turgescen te tes t ts,adjectif,,,turgescen,,,0,te,tes,t,ts
a_ultérieur,,a,adjectif:ultérieu re res r rs,adjectif,,,ultérieu,,,1,re,res,r,rs
a_ultime,,a,adjectif:ultim e es e es,adjectif,,,ultim,,,1,e,es,e,es
a_un,,a,adjectif:u ne nes n ns,adjectif,,,u,,,1,ne,nes,n,ns
a_uni,,a,adjectif:un ie ies i is,adjectif,,,un,,,1,ie,ies,i,is
a_uniforme,,a,adjectif:uniform e es e es,adjectif,,,uniform,,,1,e,es,e,es
a_unilatéral,,a,adjectif:unilatéra le les l ux,adjectif,,,unilatéra,,,1,le,les,l,ux
a_unique,,a,adjectif:uniqu e es e es,adjectif,,,uniqu,,,1,e,es,e,es
a_universel,,a,adjectif:universe lle lles l ls,adjectif,,,universe,,,1,lle,lles,l,ls
a_uns,,a,adjectif:u ne ne n n,adjectif,,,u,,,0,ne,ne,n,n
a_urbain,,a,adjectif:urbai ne nes n ns,adjectif,,,urbai,,,1,ne,nes,n,ns
a_urbain 1,,a,adjectif:citadi ne nes n ns,adjectif,,,citadi,,,0,ne,nes,n,ns
a_urgent,,a,adjectif:urgen te tes t ts,adjectif,,,urgen,,,1,te,tes,t,ts
a_usé,,a,adjectif:us ée ées é és,adjectif,,,us,,,1,ée,ées,é,és
a_usuel,,a,adjectif:usue lle lles l ls,adjectif,,,usue,,,1,lle,lles,l,ls
a_utile,,a,adjectif:util e es e es,adjectif,,,util,,,1,e,es,e,es
a_utile 1,,a,adjectif:salutair e es e es,adjectif,,,salutair,,,0,e,es,e,es
,,,adjectif:instructi ve ves f fs,adjectif,,,instructi,,,1,ve,ves,f,fs
,,,generateur:[a_utile],generateur,,,,,,,,,,
a_utile 2,,a,generateur:[a_indispensable],generateur,,,,,,,,,,
,,,generateur:[a_nécessaire],generateur,,,,,,,,,,
,,,generateur:[a_vital],generateur,,,,,,,,,,
a_utilisé,,a,adjectif:utilis ée ées é és,adjectif,,,utilis,,,1,ée,ées,é,és
a_utopique,,a,adjectif:utopiqu e es e es,adjectif,,,utopiqu,,,1,e,es,e,es
a_vacant,,a,adjectif:vacan te tes t ts,adjectif,,,vacan,,,0,te,tes,t,ts
a_vague,,a,adjectif:vagu e es e es,adjectif,,,vagu,,,0,e,es,e,es
a_vain,,a,adjectif:vai ne nes n ns,adjectif,,,vai,,,0,ne,nes,n,ns
a_vairon,,a,adjectif:vairo ne nes n ns,adjectif,,,vairo,,,0,ne,nes,n,ns
a_varié,,a,adjectif:vari ée ées é és,adjectif,,,vari,,,0,ée,ées,é,és
a_vaste,,a,adjectif:vast e es e es,adjectif,,,vast,,,0,e,es,e,es
a_vécu,,a,adjectif:véc ue ues u us,adjectif,,,véc,,,0,ue,ues,u,us
a_végétal,,a,adjectif:végéta le les l ux,adjectif,,,végéta,,,0,le,les,l,ux
a_véhément,,a,adjectif:véhémen te tes t ts,adjectif,,,véhémen,,,0,te,tes,t,ts
a_veilleur,,a,adjectif:veilleu se ses r rs,adjectif,,,veilleu,,,0,se,ses,r,rs
a_velouté,,a,adjectif:velout ée ées é és,adjectif,,,velout,,,0,ée,ées,é,és
a_velu,,a,adjectif:poilu e es  s,adjectif,,,poilu,,,0,e,es,,s
,,,adjectif:velu e es  s,adjectif,,,velu,,,0,e,es,,s
a_vendu,,a,adjectif:vend ue ues u us,adjectif,,,vend,,,0,ue,ues,u,us
a_venteux,,a,adjectif:venteu se ses x x,adjectif,,,venteu,,,0,se,ses,x,x
a_venu,,a,adjectif:ven ue ues u us,adjectif,,,ven,,,0,ue,ues,u,us
a_véritable,,a,adjectif:véritabl e es e es,adjectif,,,véritabl,,,0,e,es,e,es
a_vermeil,,a,adjectif:vermei lle lles l ls,adjectif,,,vermei,,,0,lle,lles,l,ls
a_vert,,a,adjectif:ver te tes t ts,adjectif,,,ver,,,0,te,tes,t,ts
a_vertical,,a,adjectif:vertica le les l ux,adjectif,,,vertica,,,0,le,les,l,ux
a_vêtu,,a,adjectif:vêt ue ues u us,adjectif,,,vêt,,,0,ue,ues,u,us
a_veuf,,a,adjectif:veu ve ves f fs,adjectif,,,veu,,,0,ve,ves,f,fs
a_vide,,a,adjectif:vid e es e es,adjectif,,,vid,,,0,e,es,e,es
a_vidés,,a,adjectif:vid ée ées é és,adjectif,,,vid,,,0,ée,ées,é,és
a_vieilli,,a,adjectif:vieill ie ies i is,adjectif,,,vieill,,,0,ie,ies,i,is
a_vierge,,a,adjectif:vierg e es e es,adjectif,,,vierg,,,0,e,es,e,es
a_vieux,,a,adjectif:vie ille illes ux ux,adjectif,,,vie,,,0,ille,illes,ux,ux
a_vieuxa,,a,adjectif:vi eille eilles eil eux,adjectif,,,vi,,,0,eille,eilles,eil,eux
a_vif,,a,adjectif:vi ve ves f fs,adjectif,,,vi,,,0,ve,ves,f,fs
a_vigneron,,a,adjectif:vignero nne nnes n ns,adjectif,,,vignero,,,0,nne,nnes,n,ns
a_vigoureux,,a,adjectif:vigoureu se ses x x,adjectif,,,vigoureu,,,0,se,ses,x,x
a_vingt,,a,adjectif:ving t t t t,adjectif,,,ving,,,0,t,t,t,t
a_violent,,a,adjectif:violen te tes t ts,adjectif,,,violen,,,0,te,tes,t,ts
a_violet,,a,adjectif:viole tte ttes t ts,adjectif,,,viole,,,0,tte,ttes,t,ts
a_viril,,a,adjectif:viri le les l ls,adjectif,,,viri,,,0,le,les,l,ls
a_virtuel,,a,adjectif:virtue lle lles l ls,adjectif,,,virtue,,,0,lle,lles,l,ls
a_visible,,a,adjectif:visibl e es e es,adjectif,,,visibl,,,0,e,es,e,es
a_visité,,a,adjectif:visit ée ées é és,adjectif,,,visit,,,0,ée,ées,é,és
a_visiteur,,a,adjectif:visiteu se ses r rs,adjectif,,,visiteu,,,0,se,ses,r,rs
a_vital,,a,adjectif:vita le les l ux,adjectif,,,vita,,,0,le,les,l,ux
a_vivace,,a,adjectif:vivac e es e es,adjectif,,,vivac,,,0,e,es,e,es
a_vivant,,a,adjectif:vivan te tes t ts,adjectif,,,vivan,,,0,te,tes,t,ts
a_vivifiant,,a,adjectif:vivifian te tes t ts,adjectif,,,vivifian,,,0,te,tes,t,ts
a_vocal,,a,adjectif:voca le les l ls,adjectif,,,voca,,,0,le,les,l,ls
a_voilé,,a,adjectif:voil ée ées é és,adjectif,,,voil,,,0,ée,ées,é,és
a_voisin,,a,adjectif:voisi ne nes n ns,adjectif,,,voisi,,,0,ne,nes,n,ns
a_volatile,,a,adjectif:volatil e es e es,adjectif,,,volatil,,,0,e,es,e,es
a_volcanique,,a,adjectif:volcaniqu e es e es,adjectif,,,volcaniqu,,,0,e,es,e,es
a_volé,,a,adjectif:vol ée ées é és,adjectif,,,vol,,,0,ée,ées,é,és
a_volontaire,,a,adjectif:volontair e es e es,adjectif,,,volontair,,,0,e,es,e,es
a_voluptueux,,a,adjectif:voluptueu se ses x x,adjectif,,,voluptueu,,,0,se,ses,x,x
a_vomi,,a,adjectif:vom ie ies i is,adjectif,,,vom,,,0,ie,ies,i,is
a_voulu,,a,adjectif:voul ue ues u us,adjectif,,,voul,,,0,ue,ues,u,us
a_voyageur,,a,adjectif:voyageu se ses r rs,adjectif,,,voyageu,,,0,se,ses,r,rs
a_voyant,,a,adjectif:voyan te tes t ts,adjectif,,,voyan,,,0,te,tes,t,ts
a_voyeur,,a,adjectif:voyeu se ses r rs,adjectif,,,voyeu,,,0,se,ses,r,rs
a_vrai,,a,adjectif:vra ie ies i is,adjectif,,,vra,,,0,ie,ies,i,is
a_vrai 1,,a,generateur:[a_véritable],generateur,,,,,,,,,,
a_vraisemblable,,a,adjectif:vraisemblabl e es e es,adjectif,,,vraisemblabl,,,0,e,es,e,es
a_vu,,a,adjectif:v ue ues u us,adjectif,,,v,,,0,ue,ues,u,us
a_vu 1,,a,adjectif:admir ée ées é és,adjectif,,,admir,,,0,ée,ées,é,és
,,,adjectif:contempl ée ées é és,adjectif,,,contempl,,,0,ée,ées,é,és
,,,generateur:[a_vu],generateur,,,,,,,,,,
a_vulgaire,,a,adjectif:vulgair e es e es,adjectif,,,vulgair,,,0,e,es,e,es
a_zéro,,a,adjectif:,adjectif,,,,,,0,,,,
dis-an,,dis,generateur:1977,generateur,,,,,,,,,,
,,,generateur:1978,generateur,,,,,,,,,,
,,,generateur:1979,generateur,,,,,,,,,,
,,,generateur:1980,generateur,,,,,,,,,,
,,,generateur:1981,generateur,,,,,,,,,,
,,,generateur:1982,generateur,,,,,,,,,,
,,,generateur:75,generateur,,,,,,,,,,
,,,generateur:76,generateur,,,,,,,,,,
,,,generateur:77,generateur,,,,,,,,,,
,,,generateur:78,generateur,,,,,,,,,,
,,,generateur:79,generateur,,,,,,,,,,
,,,generateur:80,generateur,,,,,,,,,,
,,,generateur:81,generateur,,,,,,,,,,
,,,generateur:82,generateur,,,,,,,,,,
,,,generateur:83,generateur,,,,,,,,,,
,,,generateur:84,generateur,,,,,,,,,,
,,,generateur:85,generateur,,,,,,,,,,
,,,generateur:86,generateur,,,,,,,,,,
,,,generateur:87,generateur,,,,,,,,,,
,,,generateur:88,generateur,,,,,,,,,,
,,,generateur:90,generateur,,,,,,,,,,
,,,generateur:91,generateur,,,,,,,,,,
,,,generateur:92,generateur,,,,,,,,,,
,,,generateur:93,generateur,,,,,,,,,,
,,,generateur:94,generateur,,,,,,,,,,
,,,generateur:95,generateur,,,,,,,,,,
,,,generateur:96,generateur,,,,,,,,,,
,,,generateur:97,generateur,,,,,,,,,,
,,,generateur:98,generateur,,,,,,,,,,
,,,generateur:99,generateur,,,,,,,,,,
m_abandon,,m,substantif:abandon  s masculin,substantif,,,abandon,masculin,,1,,,,s
,,,adjectif:désaveu   1 x,adjectif,,,désaveu,,,0,,,1,x
,,,adjectif:désaveu 0  1 x,adjectif,,,désaveu,,,0,0,,1,x
,,,adjectif:refus   1,adjectif,,,refus,,,0,,,1,
,,,adjectif:refus 0  1 0,adjectif,,,refus,,,0,0,,1,0
,,,adjectif:rejet   1 s,adjectif,,,rejet,,,0,,,1,s
,,,adjectif:rejet 0  1 s,adjectif,,,rejet,,,0,0,,1,s
,,,adjectif:reniement   1 s,adjectif,,,reniement,,,0,,,1,s
,,,adjectif:reniement 0  1 s,adjectif,,,reniement,,,0,0,,1,s
,,,adjectif:renoncement   1 s,adjectif,,,renoncement,,,0,,,1,s
,,,adjectif:renoncement 0  1 s,adjectif,,,renoncement,,,0,0,,1,s
,,,adjectif:renonciation   2 s,adjectif,,,renonciation,,,0,,,2,s
,,,adjectif:renonciation 0  2 s,adjectif,,,renonciation,,,0,0,,2,s
,,,adjectif:sacrifice   1 s,adjectif,,,sacrifice,,,0,,,1,s
,,,adjectif:sacrifice 0  1 s,adjectif,,,sacrifice,,,0,0,,1,s
,,,adjectif:abandon   1 s,adjectif,,,abandon,,,1,,,1,s
,,,adjectif:abandon 0  1 s,adjectif,,,abandon,,,1,0,,1,s
,,,adjectif:abdication   2 s,adjectif,,,abdication,,,1,,,2,s
,,,adjectif:abdication 0  2 s,adjectif,,,abdication,,,1,0,,2,s
,,,adjectif:abjuration   2 s,adjectif,,,abjuration,,,1,,,2,s
,,,adjectif:abjuration 0  2 s,adjectif,,,abjuration,,,1,0,,2,s
,,,adjectif:apostasie   2 s,adjectif,,,apostasie,,,1,,,2,s
,,,adjectif:apostasie 0  2 s,adjectif,,,apostasie,,,1,0,,2,s
m_abcès,,m,adjectif:abcès   1,adjectif,,,abcès,,,1,,,1,
,,,substantif:abcès   masculin,substantif,,,abcès,masculin,,1,,,,
m_abeille,,m,adjectif:abeille   2 s,adjectif,,,abeille,,,1,,,2,s
,,,substantif:abeille  s féminin,substantif,,,abeille,féminin,,1,,s,,
m_abîme,,m,adjectif:abîme   1 s,adjectif,,,abîme,,,1,,,1,s
,,,substantif:abîme  s masculin,substantif,,,abîme,masculin,,1,,,,s
m_abnégation,,m,adjectif:abnégation   2 s,adjectif,,,abnégation,,,1,,,2,s
,,,substantif:abnégation  s féminin,substantif,,,abnégation,féminin,,1,,s,,
m_aboiement,,m,adjectif:aboiement   1 s,adjectif,,,aboiement,,,1,,,1,s
,,,substantif:aboiement  s masculin,substantif,,,aboiement,masculin,,1,,,,s
m_abolition,,m,adjectif:abolition   1 s,adjectif,,,abolition,,,1,,,1,s
,,,substantif:abolition  s féminin,substantif,,,abolition,féminin,,1,,s,,
m_abondance,,m,adjectif:abondance   2 s,adjectif,,,abondance,,,1,,,2,s
,,,substantif:abondance  s féminin,substantif,,,abondance,féminin,,1,,s,,
m_abord,,m,adjectif:abord   1 s,adjectif,,,abord,,,1,,,1,s
,,,substantif:abord  s masculin,substantif,,,abord,masculin,,1,,,,s
m_abordage,,m,adjectif:abordage   2 s,adjectif,,,abordage,,,1,,,2,s
,,,substantif:abordage  s féminin,substantif,,,abordage,féminin,,1,,s,,
m_abri,,m,adjectif:abri   1 s,adjectif,,,abri,,,1,,,1,s
,,,substantif:abri  s masculin,substantif,,,abri,masculin,,1,,,,s
m_abricot,,m,adjectif:abricot   1 s,adjectif,,,abricot,,,1,,,1,s
,,,substantif:abricot  s masculin,substantif,,,abricot,masculin,,1,,,,s
m_abrutissement,,m,adjectif:abrutissement   1 s,adjectif,,,abrutissement,,,1,,,1,s
,,,substantif:abrutissement  s masculin,substantif,,,abrutissement,masculin,,1,,,,s
m_absence,,m,adjectif:absence   2 s,adjectif,,,absence,,,1,,,2,s
,,,substantif:absence  s féminin,substantif,,,absence,féminin,,1,,s,,
m_absurdité,,m,adjectif:absurdité   2 s,adjectif,,,absurdité,,,1,,,2,s
,,,substantif:absurdité  s féminin,substantif,,,absurdité,féminin,,1,,s,,
m_abus,,m,adjectif:abus   1,adjectif,,,abus,,,1,,,1,
,,,substantif:abus   masculin,substantif,,,abus,masculin,,1,,,,
m_abysse,,m,adjectif:abysse   1 s,adjectif,,,abysse,,,1,,,1,s
,,,substantif:abysse  s masculin,substantif,,,abysse,masculin,,1,,,,s
